Title,URL,ClassName
編輯內容,https://wordwall.net/tc/myactivities#,js-menu-item js-edit-activity
重新命名,https://wordwall.net/tc/myactivities#,js-menu-item js-rename-item
更改顏色,https://wordwall.net/tc/myactivities#,js-menu-item js-recolor-item hidden
重複,https://wordwall.net/tc/myactivities#,js-menu-item js-duplicate-item
移動,https://wordwall.net/tc/myactivities#,js-menu-item js-move-to
刪除,https://wordwall.net/tc/myactivities#,js-menu-item js-delete-item
嵌入,https://wordwall.net/tc/myactivities#,js-menu-item js-embed-item
QR 代碼,https://wordwall.net/tc/myactivities#,js-menu-item js-qr-item
oEmbed API,https://wordwall.net/tc/about/oembed,hide-on-mobile
主頁,https://wordwall.net/tc,
使用條款,https://wordwall.net/tc/account/terms,js-old-policy hidden
價格計劃,https://wordwall.net/tc/price-plans,js-price-plans
創建活動,https://wordwall.net/tc/create/picktemplate,hide-on-mobile
學校計劃,https://wordwall.net/tc/price-plans/school,
我的學校,https://wordwall.net/tc/account/myschool,hide-on-mobile
特徵,https://wordwall.net/tc/features,js-features
登出,https://wordwall.net/tc/account/logout,hide-on-mobile
社區,https://wordwall.net/tc/community,js-community
管理付款,https://wordwall.net/tc/payment/managepayments,hide-on-mobile
聯繫方式,https://wordwall.net/tc/contact,js-contact
語言和位置,https://wordwall.net/tc/account/localization,hide-on-mobile
隱私聲明,https://wordwall.net/tc/account/privacy,js-old-policy hidden
Cookie 政策,https://wordwall.net/tc/cookie-policy,js-new-policy
使用條款,https://wordwall.net/tc/terms,js-new-policy
隱私政策,https://wordwall.net/tc/privacy,js-new-policy
Català,https://wordwall.net/tc/myactivities#,js-change-language
Cebuano,https://wordwall.net/tc/myactivities#,js-change-language
Čeština,https://wordwall.net/tc/myactivities#,js-change-language
Dansk,https://wordwall.net/tc/myactivities#,js-change-language
Deutsch,https://wordwall.net/tc/myactivities#,js-change-language
Eesti keel,https://wordwall.net/tc/myactivities#,js-change-language
English,https://wordwall.net/tc/myactivities#,js-change-language
Español,https://wordwall.net/tc/myactivities#,js-change-language
Français,https://wordwall.net/tc/myactivities#,js-change-language
Hrvatski,https://wordwall.net/tc/myactivities#,js-change-language
Indonesia,https://wordwall.net/tc/myactivities#,js-change-language
Italiano,https://wordwall.net/tc/myactivities#,js-change-language
Latvian,https://wordwall.net/tc/myactivities#,js-change-language
Lietuvių,https://wordwall.net/tc/myactivities#,js-change-language
Magyar,https://wordwall.net/tc/myactivities#,js-change-language
Melayu,https://wordwall.net/tc/myactivities#,js-change-language
Nederlands,https://wordwall.net/tc/myactivities#,js-change-language
Norsk,https://wordwall.net/tc/myactivities#,js-change-language
O'zbek,https://wordwall.net/tc/myactivities#,js-change-language
Polski,https://wordwall.net/tc/myactivities#,js-change-language
Português,https://wordwall.net/tc/myactivities#,js-change-language
Română,https://wordwall.net/tc/myactivities#,js-change-language
Slovenčina,https://wordwall.net/tc/myactivities#,js-change-language
Slovenščina,https://wordwall.net/tc/myactivities#,js-change-language
Srpski,https://wordwall.net/tc/myactivities#,js-change-language
Suomi,https://wordwall.net/tc/myactivities#,js-change-language
Svenska,https://wordwall.net/tc/myactivities#,js-change-language
Tagalog,https://wordwall.net/tc/myactivities#,js-change-language
Türkçe,https://wordwall.net/tc/myactivities#,js-change-language
Vietnamese,https://wordwall.net/tc/myactivities#,js-change-language
ελληνικά,https://wordwall.net/tc/myactivities#,js-change-language
български,https://wordwall.net/tc/myactivities#,js-change-language
