Path,GameTitle,URL
首頁 > 過年,真平台語｜B9 L5(過年)完成課文語句,https://wordwall.net/tc/resource/105007534
首頁 > 過年,講古--民俗活動,https://wordwall.net/tc/resource/95936481
首頁 > 過年,康軒5-1台灣節慶美食、活動對看覓食,https://wordwall.net/tc/resource/95937003
首頁 > 過年,【真平】過年講好話,https://wordwall.net/tc/resource/65566987
首頁 > 自然3上植物大發現,CH3-2_空氣的性質,https://wordwall.net/tc/resource/64812618
首頁 > 自然3上植物大發現,CH4-1_能被磁鐵吸引的物品,https://wordwall.net/tc/resource/64812760
首頁 > 真平台語G1,複製真平台語｜聽聲音揀出圖片,https://wordwall.net/tc/resource/111547436
首頁 > 真平台語G1,B2果子正確的台語用字,https://wordwall.net/tc/resource/60509401
首頁 > 真平台語G1,【顏色+果子】真平G1快閃記憶挑戰賽: 請記住圖片，回答問題，看你記住多少?,https://wordwall.net/tc/resource/88752758
首頁 > 真平台語G1,複製顏色配對,https://wordwall.net/tc/resource/86658148
首頁 > 真平台語G1,【真平】B1 G1動物(音標),https://wordwall.net/tc/resource/65007988
首頁 > 真平台語G1 > 上學期,B1 上愛的活動,https://wordwall.net/tc/resource/63816361
首頁 > 真平台語G1 > 上學期,【真平】B9 L2 語詞、句子與拼音聽力測驗(自備耳機),https://wordwall.net/tc/resource/61326571
首頁 > 真平台語G1 > 上學期 > 第四課 動物,【真平】B1 G1你上佮意啥物動物？,https://wordwall.net/tc/resource/65260382
首頁 > 真平台語G1 > 上學期 > 第三課 	心肝仔囝,【真平】B1 L3 厝內的人 3,https://wordwall.net/tc/resource/64243644
首頁 > 真平台語G1 > 上學期 > 第三課 	心肝仔囝,【真平】B1 L3 厝內的人2,https://wordwall.net/tc/resource/64243494
首頁 > 真平台語G1 > 上學期 > 第三課 	心肝仔囝,【真平】B1 L3 我會曉念,https://wordwall.net/tc/resource/63139175
首頁 > 真平台語G1 > 上學期 > 第三課 	心肝仔囝,【真平】B1 L3 厝內的人,https://wordwall.net/tc/resource/63139109
首頁 > 真平台語G1 > 上學期 > 第二課 鉛筆盒仔,【真平】B1 L2文具,https://wordwall.net/tc/resource/61384481
首頁 > 真平台語G1 > 上學期 > 第一課 拍招呼,【真平】B1 L1 生活情境(禮貌),https://wordwall.net/tc/resource/60764498
首頁 > 真平台語G1 > 上學期 > 第一課 拍招呼,【真平】B1 L1我會曉念,https://wordwall.net/tc/resource/60656155
首頁 > 真平台語G1 > 上學期 > 第一課 拍招呼,【真平】B1 L1 生活用語,https://wordwall.net/tc/resource/60639524
首頁 > 真平台語G2,G2 L1 月娘變魔術,https://wordwall.net/tc/resource/109149172
首頁 > 真平台語G2,G2台語~餐具篇,https://wordwall.net/tc/resource/88756817
首頁 > 真平台語G2,B4L1蔬菜,https://wordwall.net/tc/resource/86658549
首頁 > 真平台語G2 > 上學期,【真平】B3 L3 厝內隔間：(啥物人)佇(佗位)(做啥物),https://wordwall.net/tc/resource/63970139
首頁 > 真平台語G2 > 上學期,【真平】B3 L3 厝內的間格,https://wordwall.net/tc/resource/63139867
首頁 > 真平台語G2 > 上學期 > 花,複製真平B3L4,https://wordwall.net/tc/resource/104272682
首頁 > 真平台語G2 > 上學期 > 花,真平2年級第3册 玉蘭花 (這是啥物花),https://wordwall.net/tc/resource/104272497
首頁 > 真平台語G2 > 上學期 > 花,【真平】B3 L2 植物,https://wordwall.net/tc/resource/61318651
首頁 > 真平台語G2 > 上學期 > 花,【真平】B3 L2 花的世界,https://wordwall.net/tc/resource/60775558
首頁 > 真平台語G2 > 上學期 > 昆蟲,蟲豸thâng-thuā,https://wordwall.net/tc/resource/95936977
首頁 > 真平台語G2 > 上學期 > 昆蟲,【真平】B2 L1 蟲語詞講看覓,https://wordwall.net/tc/resource/60668581
首頁 > 真平台語G2 > 上學期 > 昆蟲,【真平】B3 L1 昆蟲的漢字,https://wordwall.net/tc/resource/60639264
首頁 > 🔊台語拼音練習,聲母p/ph,https://wordwall.net/tc/resource/99129649
首頁 > 🔊台語拼音練習,複製台羅韻母分辨i、in、inn、ing,https://wordwall.net/tc/resource/84300926
首頁 > 🔊台語拼音練習,閩南語聲母韻母,https://wordwall.net/tc/resource/62699228
首頁 > 🔊台語拼音練習,台語用字vs台羅拼音,https://wordwall.net/tc/resource/60636228
首頁 > 🔊台語拼音練習 > 沒有聲音,臺羅拼音_前測1,https://wordwall.net/tc/resource/64387415
首頁 > 真平台語G3,真平台語B6｜時間語詞分看覓,https://wordwall.net/tc/resource/114773337
首頁 > 真平台語G3,真平B6G3第三課306(8題),https://wordwall.net/tc/resource/113368913
首頁 > 真平台語G3,真平台語｜意外傷害--圖片鬥看覓,https://wordwall.net/tc/resource/113231238
首頁 > 真平台語G3 > 下學期,真平G6B6L1L2測驗,https://wordwall.net/tc/resource/89983325
首頁 > 真平台語G3 > 下學期 > 三年級公開觀課,【休閒場所】挑戰版~G3快閃記憶挑戰賽: 請記住圖片，回答問題，看你記住多少?,https://wordwall.net/tc/resource/89980918
首頁 > 真平台語G3 > 下學期 > 三年級公開觀課,【休閒場所】簡單版~G3快閃記憶挑戰賽: 請記住圖片，回答問題，看你記住多少?,https://wordwall.net/tc/resource/88757214
首頁 > 真平台語G3 > 下學期 > 三年級公開觀課,真平G3B6L2露營(課文按組排序),https://wordwall.net/tc/resource/89980696
首頁 > 真平台語G3 > 下學期 > 三年級公開觀課,真平B6G3你上佮意做啥物？,https://wordwall.net/tc/resource/90056714
